temp,dep,time,ab1,peak1,sig1,ab1_er,peak1_er,sig1_er,ab2,peak2,sig2,ab2_er,peak2_er,sig2_er,ab3,peak3,sig3,ab3_er,peak3_er,sig3_er,ab4,peak4,sig4,ab4_er,peak4_er,sig4_er
125.0,3.0,0.0,0.52405731,143.63010604,6.43166179,0.00289297,0.02695151,0.04521154,0.13818254,155.56220708,4.19334486,0.00323527,0.07309703,0.05936519,0.5197646,116.61244775,11.62275711,0.00314531,0.1455489,0.17971622,0.01484079,160.00000004,24.73158244,0.00147741,5.83602435,2.98393375
125.0,3.0,624.0,0.53639048,143.69193515,6.48582191,0.00311738,0.02775006,0.04676279,0.13921828,155.65150552,4.18851389,0.00343798,0.07504099,0.06193993,0.53314094,116.89272125,11.33854166,0.00317975,0.13389539,0.17096514,0.02060045,160.0,24.06581533,0.00160826,4.39582406,2.22403522
125.0,3.0,1491.0,0.54404699,143.76057636,6.50566227,0.00331528,0.02852734,0.04782282,0.14151395,155.69613515,4.19780489,0.00361458,0.07630326,0.06328053,0.54744909,116.90140248,11.34875313,0.00316178,0.13334931,0.17088716,0.02331467,160.0,23.324811,0.00172188,3.97185855,1.9864124
125.0,3.0,2120.0,0.54547788,143.79282482,6.4653062,0.00347766,0.03178197,0.05168212,0.14456066,155.67422823,4.24530358,0.00398645,0.08487021,0.06820618,0.55311577,116.78456253,11.50067535,0.00355872,0.1486067,0.1877531,0.02584854,160.0,23.98917796,0.00182364,3.92509853,1.97331828
125.0,3.0,2991.0,0.55292172,143.8152002,6.52531511,0.00335202,0.02925082,0.04862221,0.14402198,155.74317741,4.21655483,0.00374777,0.07773151,0.06395179,0.55786759,117.07599616,11.2368588,0.00328243,0.1258459,0.16517891,0.02653535,160.0,23.69097851,0.00174683,3.60361301,1.80591515
125.0,3.0,3601.0,0.55396802,143.84574471,6.50722772,0.00333234,0.03005714,0.04956183,0.14569397,155.73876918,4.22018907,0.00384029,0.07930036,0.06471225,0.56633664,116.83570538,11.44125724,0.00318154,0.13771727,0.17428334,0.02753245,160.5905591,23.65956555,0.00165997,3.3731988,1.71933982
125.0,3.0,4565.0,0.55781,143.84830897,6.54720854,0.00343314,0.03039654,0.05086046,0.14377714,155.78516317,4.19567455,0.0039003,0.08057349,0.06662088,0.56624533,117.06519717,11.19729451,0.00357635,0.13047512,0.1702135,0.02903028,160.0,24.40570045,0.00178224,3.50605093,1.77492369
125.0,3.0,5180.0,0.55830816,143.84142003,6.52310642,0.00359526,0.03260956,0.05370086,0.14656111,155.76036031,4.23196888,0.00417945,0.08617406,0.07002501,0.56795278,116.99860759,11.28305442,0.00362994,0.14056743,0.18185223,0.02859143,160.34225968,24.21784169,0.00182862,3.65121061,1.85822678
125.0,3.0,5962.0,0.56086678,143.84396555,6.54723855,0.00345224,0.03079022,0.05140823,0.14546259,155.77546397,4.20385741,0.00398119,0.08124856,0.06704285,0.56733815,117.16020054,11.15004528,0.00329375,0.12788827,0.16858991,0.0291124,160.64967335,23.87880611,0.00170345,3.3265613,1.70437135
125.0,3.0,6575.0,0.56096284,143.84064271,6.54662191,0.00370796,0.03317377,0.0552214,0.14566294,155.78354585,4.2158917,0.0042702,0.08781765,0.07195974,0.56824877,117.09771237,11.1806185,0.00393022,0.13974297,0.18352465,0.02974517,160.0,24.63618257,0.00192812,3.74294514,1.89792911
