Temperature_K,8_5eV_peak_eV,8eV_peak_eV,8_5eV_err,8eV_err
20.0,8.58358714,8.00668956,0.0021482,0.00384091
30.0,8.59061298,7.997796,0.00141353,0.00286917
40.0,8.60055067,7.99686421,0.00127901,0.00286554
50.0,8.60461685,7.9895715,0.00103436,0.00240504
60.0,8.61010617,7.98843839,0.00161827,0.00308524
70.0,8.61523153,7.98770795,0.00104498,0.00274523
80.0,8.62374081,7.99292145,0.0012199,0.00334867
90.0,8.62667814,7.99012793,0.00108825,0.0029514
100.0,8.62782594,7.99138299,0.00112414,0.00317198
110.0,8.62690019,7.98542001,0.00143212,0.00318584
120.0,8.62380161,7.98205068,0.00105561,0.00298747
125.0,8.59045097,7.93610684,0.00339554,0.00711198
127.5,8.64160091,7.98096746,0.00156249,0.00384764
130.0,8.63600795,7.97808338,0.00164101,0.00385291
135.0,8.6252941,7.97018458,0.00168116,0.0036112
137.5,8.61745249,7.96071377,0.00181606,0.00402107
140.0,8.60135095,7.95993163,0.00522857,0.0095623
